id	X0	X1	X2	G	I1	I2	I3	I4	I5	trueclass
1	1	-1	-1.3	3	2	2	1	2	2	1
2	1	-0.2	-0.2	3	1	1	1	1	1	3
3	1	-0.2	0.2	3	2	2	2	1	1	2
4	1	0.1	-1.4	1	2	2	2	1	1	2
5	1	-0.8	1.3	2	2	2	2	1	1	2
6	1	-0.5	1.1	3	2	2	2	1	1	2
7	1	1	0.3	2	1	2	2	2	2	1
8	1	-0.9	0.4	1	2	2	2	1	1	2
9	1	-1.6	-0.5	3	1	1	1	1	1	3
10	1	1.6	1.8	3	2	2	2	1	2	1
11	1	0	0.4	3	2	2	2	2	2	1
12	1	-0.1	0.4	3	2	2	2	2	2	1
13	1	0.7	0.6	1	1	2	2	2	2	1
14	1	-1.2	-1.3	1	2	2	2	1	1	2
15	1	0.3	-0.1	1	2	2	2	2	2	1
16	1	0	-1.3	2	1	2	1	1	1	3
17	1	1.1	0.2	2	2	2	2	1	1	2
18	1	0.4	0.6	2	2	1	2	2	2	1
19	1	0.7	0.2	1	2	2	2	1	2	2
20	1	1.3	0.6	2	1	2	1	1	1	2
21	1	1	-0.6	1	1	1	1	1	1	3
22	1	-0.4	-0.3	2	1	1	1	1	1	3
23	1	0.7	-0.9	2	1	1	1	1	1	3
24	1	-0.6	0.5	2	2	2	2	2	2	1
25	1	0.8	-0.3	1	2	2	2	2	2	1
26	1	2.6	1.8	3	1	1	1	1	1	3
27	1	-1.3	0.3	3	1	2	2	1	2	2
28	1	-1	0.2	1	2	2	2	2	2	1
29	1	-0.1	0.8	3	2	2	2	1	1	2
30	1	-0.5	1.2	3	2	2	2	2	2	1
31	1	-1.1	1.3	1	2	1	2	2	2	1
32	1	0	0.7	3	1	1	1	1	1	3
33	1	-0.7	-0.9	3	1	2	1	2	2	1
34	1	-0.2	0.3	3	2	2	2	2	2	1
35	1	0	-0.7	1	1	1	1	1	2	3
36	1	0.5	0.3	1	2	1	1	1	1	3
37	1	0.2	0.8	2	1	1	1	1	1	3
38	1	1.5	0	3	1	1	1	1	1	3
39	1	-1.5	1.1	2	2	2	2	2	2	1
40	1	0.4	-0.8	3	2	2	2	1	2	1
41	1	0.8	-1.3	2	2	2	2	1	1	2
42	1	1	0.8	3	1	1	2	1	1	3
43	1	0	0	2	2	2	2	2	2	1
44	1	-0.6	0.6	1	2	2	2	1	1	2
45	1	-0.7	-0.6	1	2	2	2	1	1	2
46	1	0	-0.6	2	2	2	2	1	1	2
47	1	2.3	1.1	3	2	2	2	2	2	1
48	1	0.1	-0.1	3	1	1	1	1	2	3
49	1	0.5	0.4	1	2	2	2	1	1	2
50	1	-0.6	0.6	1	2	2	1	1	1	2
51	1	-0.5	0.4	3	2	2	2	1	1	2
52	1	0.5	0.5	3	1	1	1	1	1	3
53	1	0.4	0.1	2	2	2	2	1	1	2
54	1	0.2	0.5	3	2	2	2	2	2	1
55	1	-0.6	-1	1	2	2	2	1	1	2
56	1	-1.8	-0.3	1	2	2	2	2	2	1
57	1	1.2	0.5	3	2	2	2	1	1	2
58	1	-0.3	0.7	1	2	2	2	1	1	2
59	1	-1.7	0.5	1	1	2	1	2	1	3
60	1	-0.2	-1.8	3	2	2	2	1	1	2
61	1	-0.8	0.1	2	2	2	2	2	2	1
62	1	-0.8	0.6	3	2	2	2	2	1	1
63	1	-0.5	-1.5	1	1	1	1	2	2	3
64	1	-0.2	0.8	2	2	2	2	1	2	2
65	1	0.4	-1.3	3	2	2	2	2	2	1
66	1	0.7	-0.6	3	1	1	1	1	1	3
67	1	0.2	-0.6	2	2	1	2	2	2	1
68	1	-0.2	-0.6	1	2	2	2	1	1	2
69	1	-0.1	0.2	2	2	1	1	1	1	3
70	1	0.1	0.5	1	2	2	2	1	2	1
