id	X0	X1	X2	I1	I2	I3	I4	I5	trueclass
1	1	0.3	0.8	2	2	1	2	2	1
2	1	-0.3	-0.1	1	1	1	1	1	3
3	1	-0.6	-0.7	2	2	2	1	1	2
4	1	-1.4	-2	2	2	2	1	2	2
5	1	-0.9	-0.6	1	2	2	1	1	2
6	1	-0.5	0.4	2	2	2	1	1	2
7	1	-0.2	-0.6	1	2	2	2	2	1
8	1	0.5	-0.2	2	2	1	1	1	2
9	1	1	0.3	1	1	2	1	1	3
10	1	-0.1	0.3	2	2	2	2	2	1
11	1	0.7	0	2	2	2	2	2	1
12	1	-0.2	-1.3	2	2	2	1	2	1
13	1	0.9	0.1	2	2	2	2	2	1
14	1	-0.2	0.4	2	2	2	1	1	2
15	1	1.1	0.7	2	2	2	2	2	1
16	1	0.1	0.4	1	1	1	1	1	3
17	1	0.8	0.4	2	1	2	1	1	2
18	1	-1.1	1.5	2	2	2	2	2	1
19	1	-0.7	1.2	2	2	2	1	1	2
20	1	1.1	1.1	2	2	2	1	1	2
21	1	-0.8	-0.6	1	1	1	1	1	3
22	1	-0.8	-0.7	1	1	1	1	1	3
23	1	-1.1	1.4	1	2	1	1	1	3
24	1	1.4	1.5	2	2	1	2	2	1
25	1	-0.2	0.2	1	2	1	2	2	1
26	1	-0.5	-1.1	1	1	1	1	1	3
27	1	0.7	1	2	2	2	1	2	2
28	1	1	0.1	2	2	2	2	2	1
29	1	-1.6	1.1	2	2	2	1	1	2
30	1	-1.8	-0.2	2	2	1	2	2	1
31	1	-0.3	-0.1	2	2	2	2	2	1
32	1	-0.9	0.2	1	1	1	1	1	3
33	1	-0.1	-0.2	2	2	2	2	2	1
34	1	1.2	-0.3	2	2	2	2	2	1
35	1	-0.1	0.6	1	1	1	1	1	3
36	1	-0.9	-2.4	1	2	1	2	1	3
37	1	1	-0.8	1	1	1	1	1	3
38	1	-1	0.6	1	2	1	1	1	3
39	1	0.9	1.7	2	2	2	1	2	1
40	1	-1.3	-1.5	2	1	2	2	2	1
41	1	-2.4	-0.4	2	2	2	1	1	2
42	1	1.4	0.9	2	2	1	1	1	3
43	1	0.1	-1.8	2	2	2	2	2	1
44	1	0.9	0.8	2	2	2	1	1	2
45	1	0.3	-1.5	2	2	2	1	1	2
46	1	-1	-0.6	2	2	2	1	1	2
47	1	2.5	1.4	2	2	2	2	2	1
48	1	1.8	0	1	1	1	1	1	3
49	1	1.3	0.3	1	1	2	1	1	2
50	1	-0.5	-1	2	2	2	2	1	2
51	1	0.4	-0.5	2	2	2	1	1	2
52	1	2.2	-2	1	1	1	2	1	3
53	1	1.2	0.4	2	2	2	1	1	2
54	1	0.1	0.8	2	2	2	2	2	1
55	1	0	0.2	2	2	2	1	2	2
56	1	-0.9	0.4	1	1	2	1	2	1
57	1	0.2	0.1	2	1	2	1	2	2
58	1	0.2	-0.4	2	2	2	2	1	2
59	1	-0.4	-0.1	1	1	2	1	1	3
60	1	1.1	-0.3	2	2	2	2	1	2
61	1	0.8	0.3	2	2	2	2	1	1
62	1	-1.2	0.4	2	2	2	2	2	1
63	1	-2.2	-1	1	1	2	1	1	3
64	1	-1	0.2	2	2	2	1	1	2
65	1	0.4	-0.5	2	2	2	2	2	1
66	1	1.1	-0.2	1	1	1	1	1	3
67	1	0.8	1.2	2	2	2	2	2	1
68	1	0.2	0	2	2	1	1	1	2
69	1	-1.7	-0.6	1	1	1	1	1	3
70	1	-0.1	-0.7	2	2	1	2	2	1
71	1	-0.4	-0.5	2	2	2	1	1	2
72	1	1.1	1.2	2	2	2	1	1	2
73	1	0.4	-0.7	2	2	1	2	1	1
74	1	-1.3	0	1	1	1	1	1	3
75	1	-1.6	0.2	1	1	1	1	1	3
76	1	0.1	1.9	1	2	2	2	1	1
77	1	0.7	-2.4	2	2	2	1	1	2
78	1	0.2	-1.5	2	2	2	1	1	2
79	1	0.1	1.1	2	2	2	2	2	1
80	1	-0.1	-0.3	2	2	2	2	2	1
81	1	-0.3	-0.7	2	2	2	1	1	2
82	1	-0.3	-1.1	2	2	2	2	2	1
83	1	-0.6	-0.4	2	2	2	2	2	1
84	1	-0.2	1.1	2	2	2	2	2	1
85	1	-0.9	-0.5	2	2	2	2	2	1
86	1	-1.1	-0.7	1	2	1	1	1	3
87	1	1.3	0.1	2	2	2	2	2	1
88	1	1.9	1.9	1	1	1	1	2	3
89	1	-0.6	-0.2	2	2	2	2	1	2
90	1	-0.8	-1.8	2	1	2	2	2	1
91	1	1.8	0.1	2	2	2	2	2	1
92	1	-1	-0.8	2	2	2	1	1	2
93	1	-1.1	0.2	2	2	2	1	1	2
94	1	-1	0.7	1	1	1	1	1	3
95	1	0.2	-0.1	2	2	2	2	2	1
96	1	-0.8	0.5	1	2	1	1	1	3
97	1	0.4	-0.1	2	2	2	1	2	1
98	1	1.3	0.5	1	1	1	1	1	3
99	1	0.1	-0.5	1	1	2	1	1	3
100	1	-2.6	0.1	1	1	1	1	1	3
101	1	-1.7	-0.9	2	2	2	1	1	2
102	1	0.1	0	1	1	1	1	1	3
103	1	0	0	2	2	2	1	1	2
104	1	-0.5	0	2	2	2	1	1	2
105	1	-1.2	-1.1	1	1	1	2	1	3
106	1	1.1	1.5	1	1	2	1	1	3
107	1	-0.7	-0.1	2	1	2	2	2	1
108	1	0.1	-0.4	1	2	2	2	1	2
109	1	-0.4	-0.6	2	2	2	1	2	1
110	1	0.2	0.7	2	1	2	1	2	2
111	1	0.1	-0.6	1	2	2	2	2	1
112	1	0.1	0.8	2	1	2	2	1	1
113	1	0.7	0.3	2	2	2	2	2	1
114	1	-0.2	-0.4	1	1	1	1	1	3
115	1	1.1	0.8	1	1	1	1	1	3
116	1	1.3	1.9	2	2	2	2	2	1
117	1	-1.9	0.2	2	2	1	1	1	3
118	1	-0.4	-0.2	2	2	2	2	2	1
119	1	-0.5	-0.2	2	2	2	2	1	1
120	1	-1.1	0.8	1	2	2	2	2	1
121	1	-0.1	-1.6	1	2	1	1	1	3
122	1	-0.4	0.9	2	2	2	2	2	1
123	1	0.1	0.5	1	1	1	1	1	3
124	1	1.3	0.3	1	2	1	1	1	3
125	1	-0.8	-1.2	1	1	1	1	1	3
126	1	-0.1	0.9	2	2	2	2	2	1
127	1	-0.2	-0.4	2	1	1	1	1	3
128	1	0	0.6	2	2	2	2	2	1
129	1	0.5	-0.8	1	1	1	1	1	3
130	1	-2.2	-0.9	1	2	2	1	1	2
131	1	0.5	0.6	1	1	1	1	1	3
132	1	-2.3	-1.1	2	1	2	1	2	3
133	1	0.9	0.7	1	2	2	2	2	1
134	1	0.3	1.2	2	2	2	2	2	1
